title,job_type,city,code,hc,max_salary,min_salary
分布式KV / 缓存系统研发工程师,基础架构,北京,RKFQ1,5,60,30
ARM软硬件生态工程师,基础架构,北京,JR9QL,15,60,30
计算引擎研发工程师 — 基础架构,基础架构,杭州,R95F1,10,50,25
DNS(高级)研发工程师,基础架构,北京,8TX51,5,40,20
高级网络研发工程师,基础架构,北京,8CAX1,2,40,25
FPGA数字设计工程师,基础架构,上海,9VK1,5,60,30
云原生研发工程师 - 后台研发 ,基础架构,北京,LQ8V,5,60,30
消息队列产品开发工程师,基础架构,北京,J16U2,5,50,25
视频会议SDK开发工程师,基础架构,上海,9L91,5,40,20
基础架构研发工程师-流量接入,基础架构,北京,RSQJ1,5,60,30
资深内核/虚拟化专家,基础架构,上海,X1W1,5,60,30
服务端技术负责人-视频架构,基础架构,北京,J5FS1,5,60,40
音视频引擎开发专家,基础架构,上海,7P91,5,50,25
存储基础平台开发工程师,基础架构,北京,9S7P,5,50,25
实时引擎c++研发工程师/架构师/研发leader,基础架构,北京,J4362,10,50,25
大数据(高级)架构师-网络方向,基础架构,北京,J1SJ1,2,40,20
服务端（高级）开发工程师,基础架构,深圳,CXTP,10,60,30
CDN运营工程师,基础架构,北京,R3KF1,5,30,20
芯片应用,基础架构,上海,JLSMP,2,50,25
基础架构 - To B 研发项目经理,基础架构,上海,JFRKP,5,60,30
基础架构研发工程师-Dev Cloud 方向,基础架构,上海,JY3KV,5,60,30
云原生研发工程师 - 组件研发,基础架构,北京,8V8V,5,60,30
网络架构工程师,基础架构,北京,JD88P,1,40,20
ARM软硬件生态工程师 ,基础架构,杭州,UBLL,3,40,20
云计算IaaS产品SRE工程师,基础架构,成都,Q93V,10,50,20
SRE运维研发工程师,基础架构,北京,8RXQ1,8,60,30
系统研发工程师-主机网络,基础架构,杭州,8SX1,2,40,20
服务端(高级)研发工程师 - 视频云私有化,基础架构,北京,KRNV,5,50,25
边缘计算(资深)研发工程师,基础架构,北京,RBJK1,4,40,20
云原生数据库MySQL内核开发工程师,基础架构,杭州,KJPV,8,60,30
云计算数据库产品SRE工程师（Cloud DBA）,基础架构,成都,JPT3V,10,50,20
高级研发工程师 - CloudIDE - 工具链方向,基础架构,上海,JK57V,3,50,25
分布式文件系统研发工程师-ByteNAS,基础架构,上海,LEMP,5,50,25
边缘计算—中间件方向,基础架构,北京,EVRP,6,50,25
数据库基础软件工程师 - 密码学方向,基础架构,杭州,KF5L,3,60,30
IaaS产品运营,基础架构,北京,F59V,10,50,20
HTAP数据库存储引擎架构师,基础架构,深圳,JXDPV,5,60,30
服务器固件测试与质量工程师,基础架构,北京,JV3U2,3,45,25
前端架构师-飞书,基础架构,深圳,J18D1,5,60,30
GPU 系统软件工程师 - AML机器学习系统,基础架构,北京,JSXY2,5,60,25
网络研发工程师 - 光网络管控方向,基础架构,上海,JHAY1,5,60,40
CDN(高级)架构师,基础架构,北京,8ELJ1,2,40,20
边缘计算 Serverless/FaaS 研发工程师,基础架构,北京,JTLRP,6,50,25
云原生研发工程师 - 网关方向,基础架构,杭州,J2YPV,5,60,30
新硬件存储资深研发工程师,基础架构,北京,AUR1,5,50,25
云计算大数据产品SRE工程师,基础架构,杭州,T83V,10,50,20
Nginx(高级)研发工程师,基础架构,北京,KD51,5,40,20
服务器研发、生产质量工程师,基础架构,北京,RPYS1,3,40,20
高级研发工程师 - CloudIDE - 基础架构方向,基础架构,上海,JC7V,3,60,30
高级存储研发专家,基础架构,北京,JRE2V,3,60,30
火山CDN研发工程师,基础架构,北京,4VE2,5,40,20
存储研发工程师-广告架构,基础架构,北京,2XK2,5,60,30
网络架构负责人,基础架构,北京,6J8P,1,60,30
DocumentDB研发工程师,基础架构,深圳,AXPV,5,60,30
HTAP数据库SQL引擎架构师,基础架构,深圳,J76PV,5,60,30
服务端(高级)研发工程师 - 运维平台,基础架构,上海,GWNV,5,50,25
高级硬件研发工程师 —— FPGA,基础架构,上海,J9Q71,2,80,40
Service Mesh研发工程师,基础架构,北京,8TNR1,5,60,30
引擎研发架构师-抖音电商,基础架构,上海,KTLV,5,65,45
CDN技术负责人,基础架构,北京,88QJ1,2,50,25
系统运维工程师 - 流量接入方向,基础架构,北京,81JF1,5,40,20
云原生数据库MySQL内核架构师,基础架构,北京,QFPV,8,60,30
边缘计算(高级)研发工程师,基础架构,北京,JKD51,5,40,20
云计算运维开发工程师,基础架构,杭州,K63V,10,50,20
虚拟化高级研发工程师,基础架构,北京,FKF1,2,45,25
Linux内核高级研发工程师,基础架构,北京,89FF1,10,45,25
芯片应用,基础架构,深圳,JDSEV,2,50,25
云计算存储产品SRE工程师,基础架构,深圳,55J2,5,40,20
云原生研发工程师 - 后台研发 ,基础架构,杭州,CF8V,5,60,30
后端开发工程师 - 开发者工具方向,基础架构,上海,RDEH1,10,60,30
AML 机器学习推理框架研发工程师,基础架构,北京,52W1,4,50,30
网络开发负责人,基础架构,北京,DN8P,1,60,30
Java虚拟机工程师,基础架构,杭州,3GSP,3,40,20
高性能网络研发工程师,基础架构,上海,J581P,5,50,25
解决方案架构师（存储&数据库&中间件方向）,基础架构,深圳,J5QEP,10,70,25
系统软件/软硬一体化专家,基础架构,杭州,KQX1,20,60,30
网络开发运维工程师,基础架构,北京,JUC8P,1,40,20
存储研发工程师,基础架构,上海,JQ23P,3,40,25
网络解决方案专家,基础架构,北京,J7LPL,1,50,30
云原生监控研发工程师,基础架构,杭州,JA3SV,5,60,30
APM 接入侧组件工程师,基础架构,杭州,RWYP,3,60,30
基础架构(高级)研发工程师-CDN,基础架构,北京,RTX51,5,50,25
DevOps工程师/专家--音视频 ,基础架构,北京,JFX6P,5,40,20
服务器系统集成测试工程师,基础架构,北京,JUML1,3,40,20
关系型数据库产品开发工程师,基础架构,上海,PSU2,5,50,25
基础架构工程师 — 资源调度方向,基础架构,杭州,895F1,10,50,25
云存储测试开发工程师,基础架构,杭州,JS832,5,40,20
ARM软硬件生态工程师 ,基础架构,深圳,JFLQL,3,40,20
分布式图数据库研发工程师,基础架构,成都,FFEP,2,60,30
基础存储架构师/工程师 -- DanceNN,基础架构,北京,RLGJ1,10,50,25
边缘存储研发工程师,基础架构,北京,J3VRP,6,50,25
高级编译器工程师,基础架构,杭州,X6SP,3,40,20
FPGA数字设计工程师,基础架构,杭州,2M5V,5,60,30
高级研发工程师 - 效能体系 - Serverless方向,基础架构,北京,JYJFL,5,60,30
网络研发工程师  - 高速网络,基础架构,北京,EJ61,3,40,20
云计算数据库产品SRE工程师（Cloud DBA）,基础架构,北京,JFE3V,10,50,20
高级前端开发工程师 - CloudIDE,基础架构,北京,JKC7V,3,60,30
